District,Taplejung,Sankhuwasabha,Solukhumbu,Okhaldhunga,Khotang,Bhojpur,Dhankuta,Terhathum,Panchthar,Ilam,Jhapa,Morang,Sunsari,Udayapur,Saptari,Sirah,Dhanusha,Mahottari,Sarlahi,Rautahat,Bara,Parsa,Dolakha,Sindhupalchok,Rasuwa,Dhading,Nuwakot,Kathmandu,Bhaktapur,Lalitpur,Kabhrepalanchok,Ramechhap,Sindhuli,Makawanpur,Chitawan,Gorkha,Manang,Mustang,Myagdi,Kaski,Lamjung,Tanahu,Nawalparasi_E,Syangja,Parbat,Baglung,Rukum_E,Rolpa,Pyuthan,Gulmi,Arghakhanchi,Palpa,Nawalparasi_W,Rupandehi,Kapilbastu,Dang,Banke,Bardiya,Dolpa,Mugu,Humla,Jumla,Kalikot,Dailekh,Jajarkot,Rukum_W,Salyan,Surkhet,Bajura,Bajhang,Darchula,Baitadi,Dadeldhura,Doti,Achham,Kailali,Kanchanpur
Total number of holdings,24032,32372,22797,32408,38131,34784,31526,18698,36718,61874,148133,145318,97770,61546,104660,104943,105255,87062,105230,86835,84138,60217,40894,61865,9312,68780,56915,50857,25983,29991,69941,41863,54735,67523,89519,60028,951,2366,21792,53228,31912,58595,55412,51592,25999,50802,11845,46842,50717,55911,42418,49742,55098,117333,84675,101880,67885,80744,8373,10929,9707,21548,24432,49646,33431,32773,49274,62526,25279,35330,24930,47262,26984,39572,45214,127016,86170
Total area (ha) of holdings,20284.8,25277.9,15789.3,22284.5,25616.8,25726.9,21780.8,15220.6,25047.4,50830.8,94164.5,98232.6,66438.8,26241.5,67291.8,74063.1,64825.5,59417.7,73271.3,56935.5,52813.8,43878.4,22444.6,30933,4402.9,30718.5,27290.1,7405.9,3895.8,6178.3,35357.7,24772.1,25038.5,28207.5,35647.3,26094.4,488.8,1182.5,8953.3,19163.8,11083.2,26099.6,21089.6,24456.6,9551.8,25609.2,4762.4,23640.7,22076.1,33855.2,25168.2,28952.8,30123.8,65555,61216.8,49278,36828.3,45157.1,2612.3,5556,4305.3,6897.1,8886.5,19757.9,12572.6,12239.8,20444.3,24139.2,6792.5,9942.3,11804.4,19925.6,10192.3,12790.8,16453.9,62734.2,42249
Total number of holdings of vegetable,19423,20883,9287,11324,33617,22613,27320,11254,29707,54806,102264,65159,43108,21120,20813,13795,25098,12754,17362,6485,8483,4413,27683,42032,5009,32284,29716,40664,19231,16857,56256,38582,39496,34362,68314,33522,640,384,8224,47702,13947,56137,48626,28490,23507,23945,6362,14597,15561,30562,23297,46230,20647,35525,24173,61010,29962,55203,1213,1734,2190,6756,10200,4937,6972,5224,11701,30548,4197,6562,14229,16518,18082,11499,13953,59441,71787
Total number of holdings cultivating vegetable using local seeds,18806,19566,8581,10395,30397,21845,19401,10211,28418,48020,64624,42597,24826,20310,8832,6878,15167,7448,9326,2846,3830,1588,24774,35830,3795,18615,19090,9210,8338,8321,38866,36180,32254,21850,35563,24718,323,282,7064,25160,7021,34941,28265,18633,18168,16833,5752,10814,12760,22660,15475,31305,7219,9643,7931,25671,14523,25005,1202,1734,1445,5850,9352,4111,5867,4165,8036,18137,4064,6180,11779,15139,13270,9709,10672,29582,30564
Total number of holdings cultivating vegetable using improved seeds,522,1217,600,613,2775,618,5034,561,644,4691,34948,14930,12158,538,9987,4368,6952,2646,4122,2581,2630,2403,2326,2716,848,5102,5000,19932,5891,5811,6899,1508,5519,4503,21030,4753,83,73,1012,12624,3231,12363,11495,5748,3309,3777,345,2408,2105,3372,6254,7119,7135,16692,11672,18137,6997,25701,10,0,559,689,512,719,773,397,1972,6857,103,323,1921,793,3798,979,2364,19073,27402
Total number of holdings cultivating vegetable using hybrid seeds,95,101,107,316,445,150,2885,483,645,2095,2692,7632,6124,273,1994,2550,2978,2661,3915,1058,2023,422,582,3486,366,8568,5626,11523,5002,2724,10491,894,1723,8009,11721,4051,235,28,148,9918,3694,8833,8866,4110,2030,3334,265,1376,696,4529,1568,7806,6293,9190,4570,17202,8442,4498,0,0,186,217,337,107,332,662,1693,5554,30,59,529,586,1015,810,918,10786,13820
Total number of holdings cultivating vegetable using pesticides,1195,881,151,545,1819,713,9345,1383,1693,5346,32267,23868,19301,3897,9571,7002,15140,6390,11075,4300,5237,2759,2658,5577,569,14032,12044,18814,8326,5688,16267,1324,4589,15645,38690,7087,24,41,607,8269,1480,9543,12893,3507,3445,1163,51,2820,1373,4729,1175,6676,8755,22124,14585,26085,7613,20694,27,0,229,218,304,719,275,556,3052,7971,172,243,409,1284,2485,1062,840,20717,14631
Total number of holdings cultivating vegetable using green_slightly toxic pesticides,787,327,65,444,988,455,5897,545,1419,3456,24634,12230,10177,2807,5148,2564,6886,2784,2970,1672,1986,1113,1693,3137,423,3729,7410,12062,5370,3983,7045,1017,2899,5662,13997,2765,24,0,470,5194,1041,5218,8001,2244,1908,813,44,1336,700,2876,956,4277,5239,9783,8055,12348,4137,13267,21,0,221,171,186,378,85,146,1405,4813,92,159,249,696,1019,759,692,11994,9170
Total number of holdings cultivating vegetable using blue_moderately toxic pesticides,408,494,86,101,631,173,2162,761,256,1812,6617,9042,5753,973,3449,2816,5972,2741,5529,1795,1884,1414,715,2003,117,6701,3776,4821,2074,1267,6930,249,1039,6989,17628,1851,0,15,122,1180,411,3505,2695,811,1129,170,8,1162,552,1285,207,1909,2680,6868,4831,8284,1990,6687,6,0,9,47,62,328,14,292,1573,2866,80,76,160,504,1037,288,148,7274,3193
Total number of holdings cultivating vegetable using yellow_highly toxic pesticides,0,60,0,0,193,85,1242,76,10,78,896,2518,2991,107,917,1595,1977,846,2334,782,1070,215,250,420,29,3602,787,1851,763,407,2144,57,651,2981,7052,2436,0,26,16,1882,28,811,2174,440,395,165,0,322,121,544,13,458,764,5097,1465,4813,1462,726,0,0,0,0,55,13,176,118,75,265,0,0,0,83,409,14,0,1397,2206
Total number of holdings cultivating vegetable using red_extremely toxic pesticides,0,0,0,0,8,0,43,0,10,0,119,78,379,10,56,27,304,18,242,51,297,18,0,17,0,0,71,81,119,30,149,0,0,14,12,35,0,0,0,12,0,9,23,12,13,16,0,0,0,23,0,32,73,376,234,640,24,14,0,0,0,0,0,0,0,0,0,27,0,8,0,0,20,0,0,52,62
Total number of holdings cultivating vegetable using local fertilizer,18817,20033,9258,11177,33086,21865,18726,10121,29289,53265,92634,46226,28535,19475,9185,6365,10791,6717,6629,2560,3612,1383,25049,31455,3846,14784,11984,23794,6143,11676,34639,37571,37259,17799,49347,27249,626,380,7548,38039,12486,51608,44397,23478,18384,22665,6362,11762,14600,27417,22339,39228,14124,20684,15613,44827,22884,35171,1206,1734,2190,6756,9490,4101,6634,4752,8498,23364,4118,6408,14111,15474,16615,10701,13616,29419,50828
Total number of holdings cultivating vegetable using mineral_chemical fertilizer,53,60,0,48,14,63,1080,23,22,144,1775,6649,6573,433,3974,1603,2854,1853,4124,1765,2640,1207,166,1163,71,1398,861,1875,1527,1319,1368,210,287,903,2014,423,0,4,71,488,48,929,249,357,163,39,0,426,93,584,77,374,2257,5704,2498,4636,1372,7377,0,0,0,0,347,96,137,94,667,429,0,0,7,301,241,14,45,7125,3039
Total number of holdings cultivating vegetable using both local and mineral_chemical fertilizer,553,791,29,99,516,685,7514,1110,395,1397,7855,12284,7999,1213,7654,5827,11452,4185,6610,2160,2231,1823,2468,9414,1092,16103,16871,14995,11561,3862,20250,802,1950,15660,16954,5849,14,0,604,9175,1413,3600,3979,4655,4960,1240,0,2409,868,2561,881,6627,4266,9137,6062,11548,5706,12655,7,0,0,0,363,740,202,378,2536,6755,79,154,111,742,1227,784,292,22897,17920
Total area (ha) of holdings cultivating vegetable using mineral_chemical fertilizer,29.6,84.2,1.3,11.1,24.5,49.6,1588.2,233.7,29.5,79,581.7,1793,2281.5,51.7,641.1,826.5,1625.3,777.1,1880.3,520.4,538.2,381.8,311.9,260.5,29.5,2869,794.1,1017.5,879,328.3,1784.6,19.1,105.4,2872.8,2513.1,547.4,0.3,0.1,17.3,797.3,36,163.5,293.4,137.9,239.4,22.1,0,219.8,26.9,145.4,26,333.7,271.3,1571.1,427.8,637.5,308.2,562.3,0.4,0,0,0,20,81.8,5,23.8,394.8,278.7,2.3,4.3,4.5,72.6,167.6,25.9,8.2,907.6,577.5
Total quantity (quintal) of mineral_chemical fertilizer used for vegetable,389.26,562.94,17.66,45.11,183.83,148.38,6145.75,511.82,76.63,269.74,1670.38,5242.24,6041.63,223.28,2007.67,1943,4143.05,1956.83,4981.94,1635.84,1796.95,1296.11,604.72,1357.05,114.12,13724.36,3534.83,8172.34,6387.91,1196.17,6990.81,63.66,422.33,20024.62,5239.98,2488.03,5.74,2.02,52.5,3619.04,99.12,370.51,555.04,427.1,584.96,64.66,0,2204.53,173.33,1123.33,89.04,1359.28,958.25,4437.69,1389.46,2107.33,1159.63,1811.56,1.39,0,0,0,111.44,546.02,79.64,125.74,2463.72,811.54,4.39,23.57,31.01,175.19,240.05,44.97,150.42,3555.96,2478.68
